date,close,high,low,open
29.12.2016__00:00__AM,116.73,117.1095,116.4,116.45
30.12.2016__00:00__AM,115.82,117.2,115.43,116.65
03.01.2017__00:00__AM,116.15,116.33,114.76,115.8
04.01.2017__00:00__AM,116.02,116.51,115.75,115.85
05.01.2017__00:00__AM,116.61,116.8642,115.81,115.92
06.01.2017__00:00__AM,117.91,118.16,116.47,116.78
09.01.2017__00:00__AM,118.99,119.43,117.94,117.95
10.01.2017__00:00__AM,119.11,119.38,118.3,118.77
11.01.2017__00:00__AM,119.75,119.93,118.6,118.74
12.01.2017__00:00__AM,119.25,119.3,118.21,118.895
13.01.2017__00:00__AM,119.04,119.62,118.81,119.11
17.01.2017__00:00__AM,120.0,120.24,118.22,118.34
18.01.2017__00:00__AM,119.99,120.5,119.71,120.0
19.01.2017__00:00__AM,119.78,120.09,119.37,119.4
20.01.2017__00:00__AM,120.0,120.45,119.7346,120.45
23.01.2017__00:00__AM,120.08,120.81,119.77,120.0
24.01.2017__00:00__AM,119.97,120.1,119.5,119.55
25.01.2017__00:00__AM,121.88,122.1,120.28,120.42
26.01.2017__00:00__AM,121.94,122.44,121.6,121.67
27.01.2017__00:00__AM,121.95,122.35,121.6,122.14
30.01.2017__00:00__AM,121.63,121.63,120.66,120.93
31.01.2017__00:00__AM,121.35,121.39,120.62,121.15
01.02.2017__00:00__AM,128.75,130.49,127.01,127.03
02.02.2017__00:00__AM,128.53,129.39,127.78,127.975
03.02.2017__00:00__AM,129.08,129.19,128.16,128.31
06.02.2017__00:00__AM,130.29,130.5,128.9,129.13
07.02.2017__00:00__AM,131.53,132.09,130.45,130.54
08.02.2017__00:00__AM,132.04,132.22,131.22,131.35
09.02.2017__00:00__AM,132.42,132.445,131.12,131.65
10.02.2017__00:00__AM,132.12,132.94,132.05,132.46
13.02.2017__00:00__AM,133.29,133.82,132.75,133.08
14.02.2017__00:00__AM,135.02,135.09,133.25,133.47
15.02.2017__00:00__AM,135.51,136.27,134.62,135.52
16.02.2017__00:00__AM,135.345,135.9,134.8398,135.67
17.02.2017__00:00__AM,135.72,135.83,135.1,135.1
21.02.2017__00:00__AM,136.7,136.75,135.98,136.23
22.02.2017__00:00__AM,137.11,137.12,136.11,136.43
23.02.2017__00:00__AM,136.53,137.48,136.3,137.38
24.02.2017__00:00__AM,136.66,136.66,135.28,135.91
27.02.2017__00:00__AM,136.93,137.435,136.28,137.14
28.02.2017__00:00__AM,136.99,137.435,136.7,137.08
01.03.2017__00:00__AM,139.79,140.15,137.595,137.89
02.03.2017__00:00__AM,138.96,140.2786,138.76,140.0
03.03.2017__00:00__AM,139.78,139.83,138.59,138.78
06.03.2017__00:00__AM,139.34,139.77,138.5959,139.365
07.03.2017__00:00__AM,139.52,139.98,138.79,139.06
08.03.2017__00:00__AM,139.0,139.8,138.82,138.95
09.03.2017__00:00__AM,138.68,138.79,137.05,138.74
10.03.2017__00:00__AM,139.14,139.3571,138.64,139.25
13.03.2017__00:00__AM,139.2,139.43,138.82,138.85
14.03.2017__00:00__AM,138.99,139.65,138.84,139.3
15.03.2017__00:00__AM,140.46,140.7501,139.025,139.41
16.03.2017__00:00__AM,140.69,141.02,140.26,140.72
17.03.2017__00:00__AM,139.99,141.0,139.89,141.0
20.03.2017__00:00__AM,141.46,141.5,140.23,140.4
21.03.2017__00:00__AM,139.84,142.8,139.73,142.11
22.03.2017__00:00__AM,141.42,141.6,139.76,139.845
23.03.2017__00:00__AM,140.92,141.5844,140.61,141.26
24.03.2017__00:00__AM,140.64,141.74,140.35,141.5
27.03.2017__00:00__AM,140.88,141.22,138.62,139.39
